,UniqueID,IndicatorID,Name,Measure,MeasureInfo,GeoTypeName,GeoJoinID,GeoPlaceName,Year,Season,Start_Date,DataValue,Total AQ Complaints,"Air: Dust, Commercial (AE2)","Air: Dust, Construction/Demolition (AE4)","Air: Dust, Other (Use Comments) (AE5)","Air: Dust, Residential (AE1)","Air: Odor, Nail Salon (AD8)","Air: Odor, Sweet From Unknown Source (AZ1)","Air: Odor/Fumes, Dry Cleaners (AD1)","Air: Odor/Fumes, Other (Use Comments) (AD6)","Air: Odor/Fumes, Private Carting (AD4)","Air: Odor/Fumes, Restaurant (AD2)","Air: Odor/Fumes, Vehicle Idling (AD3)","Air: Open Fire, Commercial (AC2)","Air: Open Fire, Construction/Demolition (AC4)","Air: Open Fire, Residential (AC1)",Air: Other Air Problem (Use Comments) (AZZ),"Air: Smoke, Chimney or vent (AS1)","Air: Smoke, Commercial (AA2)","Air: Smoke, Other (Use Comments) (AA5)","Air: Smoke, Residential (AA1)","Air: Smoke, Vehicular (AA4)","Air: Soot, Other (Use Comments) (AB4)",BoroCD,Population_19,MedHHIncome_19
0,169573,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2013,Summer,06/01/2013,9.13,10,,2.0,,,,,,,,1.0,2.0,,,,1.0,1.0,,,,3.0,,503.0,164601,100602.5
1,166918,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Summer,06/01/2013,7.59,10,,2.0,,,,,,,,1.0,2.0,,,,1.0,1.0,,,,3.0,,503.0,164601,100602.5
2,216630,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Summer,06/01/2013,32.64,10,,2.0,,,,,,,,1.0,2.0,,,,1.0,1.0,,,,3.0,,503.0,164601,100602.5
3,547775,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2017,Winter,12/01/2016,6.87,138,,2.0,,,2.0,,,,,,13.0,,,,2.0,115.0,,,,4.0,,503.0,164601,100602.5
4,550167,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2017,Winter,12/01/2016,17.47,138,,2.0,,,2.0,,,,,,13.0,,,,2.0,115.0,,,,4.0,,503.0,164601,100602.5
5,606069,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2018,Summer,06/01/2018,7.36,37,,9.0,,,1.0,1.0,,,,1.0,9.0,,,,7.0,8.0,,,,1.0,,503.0,164601,100602.5
6,603108,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2018,Summer,06/01/2018,6.25,37,,9.0,,,1.0,1.0,,,,1.0,9.0,,,,7.0,8.0,,,,1.0,,503.0,164601,100602.5
7,605365,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2018,Summer,06/01/2018,30.23,37,,9.0,,,1.0,1.0,,,,1.0,9.0,,,,7.0,8.0,,,,1.0,,503.0,164601,100602.5
8,168511,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2010,Winter,12/01/2009,9.07,33,1.0,1.0,,1.0,1.0,,,,,1.0,14.0,,,,5.0,,,,9.0,,,503.0,164601,100602.5
9,165856,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Winter,12/01/2009,16.69,33,1.0,1.0,,1.0,1.0,,,,,1.0,14.0,,,,5.0,,,,9.0,,,503.0,164601,100602.5
10,164971,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Winter,12/01/2009,0.98,33,1.0,1.0,,1.0,1.0,,,,,1.0,14.0,,,,5.0,,,,9.0,,,503.0,164601,100602.5
11,168688,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2013,Winter,12/01/2012,9.6,19,,5.0,,,,1.0,,,,,2.0,,,,4.0,3.0,,,,4.0,,503.0,164601,100602.5
12,166033,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Winter,12/01/2012,16.7,19,,5.0,,,,1.0,,,,,2.0,,,,4.0,3.0,,,,4.0,,503.0,164601,100602.5
13,165148,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2013,Winter,12/01/2012,0.39,19,,5.0,,,,1.0,,,,,2.0,,,,4.0,3.0,,,,4.0,,503.0,164601,100602.5
14,169396,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2010,Summer,06/01/2010,11.27,36,,6.0,,1.0,,,,,1.0,2.0,13.0,,,,8.0,,1.0,,4.0,,,503.0,164601,100602.5
15,166741,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Summer,06/01/2010,9.42,36,,6.0,,1.0,,,,,1.0,2.0,13.0,,,,8.0,,1.0,,4.0,,,503.0,164601,100602.5
16,216627,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2010,Summer,06/01/2010,36.52,36,,6.0,,1.0,,,,,1.0,2.0,13.0,,,,8.0,,1.0,,4.0,,,503.0,164601,100602.5
17,168570,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2011,Winter,12/01/2010,11.52,15,,1.0,,1.0,,,,,,,5.0,,,1.0,3.0,,,,4.0,,,503.0,164601,100602.5
18,165915,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2011,Winter,12/01/2010,20.41,15,,1.0,,1.0,,,,,,,5.0,,,1.0,3.0,,,,4.0,,,503.0,164601,100602.5
19,165030,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2011,Winter,12/01/2010,1.52,15,,1.0,,1.0,,,,,,,5.0,,,1.0,3.0,,,,4.0,,,503.0,164601,100602.5
20,334358,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2015,Summer,06/01/2015,8.44,28,,7.0,,,4.0,,,,,,8.0,,,,3.0,1.0,,,,5.0,,503.0,164601,100602.5
21,336896,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2015,Summer,06/01/2015,6.59,28,,7.0,,,4.0,,,,,,8.0,,,,3.0,1.0,,,,5.0,,503.0,164601,100602.5
22,338307,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2015,Summer,06/01/2015,34.09,28,,7.0,,,4.0,,,,,,8.0,,,,3.0,1.0,,,,5.0,,503.0,164601,100602.5
23,334359,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2015,Winter,12/01/2014,8.06,25,,7.0,,,,,,,,1.0,12.0,,,,,4.0,,,,1.0,,503.0,164601,100602.5
24,336897,375,Nitrogen Dioxide (NO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2015,Winter,12/01/2014,18.2,25,,7.0,,,,,,,,1.0,12.0,,,,,4.0,,,,1.0,,503.0,164601,100602.5
25,337884,383,Sulfur Dioxide (SO2),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),2015,Winter,12/01/2014,0.21,25,,7.0,,,,,,,,1.0,12.0,,,,,4.0,,,,1.0,,503.0,164601,100602.5
26,411140,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),2016,Winter,12/01/2015,7.17,25,,2.0,,,1.0,,,,,,15.0,,,,,4.0,,,,3.0,,503.0,164601,100602.5
